open_time,open,high,low,close,volume,quote_volume,count,taker_buy_volume,taker_buy_quote_volume
2024-01-12 12:00:00,2165.0,2194.6,2101.5,2107.6,15388.337,33024070.8846,138796,7711.393,16559815.0429
2024-01-12 16:00:00,2107.3,2137.2,2036.3,2041.4,9343.82,19419819.7653,94518,4547.872,9456841.6773
2024-01-12 20:00:00,2041.4,2046.4,1975.6,2026.5,6682.307,13450865.4466,78829,3340.079,6722026.2385
2024-01-13 00:00:00,2027.0,2085.5,2012.9,2075.1,8390.343,17213494.4182,81165,4473.951,9175108.0776
2024-01-13 04:00:00,2075.1,2094.7,2058.0,2083.1,5353.772,11121810.1654,53438,2679.987,5566880.9397
2024-01-13 08:00:00,2083.4,2096.6,2070.5,2092.5,4196.302,8748907.0685,45438,2086.463,4349568.6677
2024-01-13 12:00:00,2091.5,2120.0,2075.1,2107.4,3674.811,7707864.8716,45006,1980.215,4153779.3967
2024-01-13 16:00:00,2107.2,2112.8,2079.8,2089.0,2861.984,5993205.5747,40135,1378.872,2887112.1023
2024-01-13 20:00:00,2089.0,2090.0,2060.4,2070.2,2571.474,5331276.4514,33768,1176.99,2440367.2124
2024-01-14 00:00:00,2070.2,2102.2,2055.2,2063.0,4389.876,9120486.321,50761,2285.927,4749797.256
2024-01-14 04:00:00,2063.0,2109.1,2052.8,2094.8,6094.6,12709570.3652,58176,2905.96,6060305.2695
2024-01-14 08:00:00,2094.7,2113.3,2082.0,2091.6,3550.618,7446800.1634,39400,1726.854,3621249.3369
2024-01-14 12:00:00,2091.7,2111.3,2066.6,2069.6,5532.221,11569443.4979,53084,2613.791,5466122.4657
2024-01-14 16:00:00,2069.4,2073.8,2024.1,2027.9,4775.847,9763300.5419,58989,2149.244,4394421.3776
2024-01-14 20:00:00,2027.6,2052.6,2011.0,2033.3,3677.781,7485521.7583,52587,1898.918,3865255.2251
2024-01-15 00:00:00,2033.2,2044.7,2007.8,2022.9,3332.326,6757434.1359,40782,1597.754,3240613.1064
2024-01-15 04:00:00,2022.6,2079.3,2016.2,2076.2,4719.138,9652641.786,42932,2507.625,5132691.3953
2024-01-15 08:00:00,2076.5,2085.4,2037.1,2049.8,5298.472,10924168.701,47663,2460.14,5072286.1106
2024-01-15 12:00:00,2049.9,2058.3,2002.5,2008.8,5192.768,10537536.5453,53739,2351.449,4771403.08
2024-01-15 16:00:00,2008.8,2035.8,1988.0,2011.0,6164.291,12409150.4444,54305,2797.505,5633345.1304
2024-01-15 20:00:00,2011.0,2034.1,2001.7,2018.1,2268.414,4577069.7457,30895,1098.603,2216585.9394
2024-01-16 00:00:00,2018.5,2060.4,2016.2,2054.8,4072.008,8295587.304,38750,1994.465,4063826.3279
2024-01-16 04:00:00,2054.7,2056.9,2020.8,2025.3,2796.278,5687409.5184,29798,1262.365,2565911.9851
2024-01-16 08:00:00,2025.2,2030.3,1989.0,1997.6,3370.926,6779992.8062,34679,1453.478,2923849.7661
2024-01-16 12:00:00,1997.6,2011.6,1969.7,1987.5,4818.705,9585760.0218,50840,2391.9,4758684.819
